gameid,gamename,category,ranking,link,search
1000,Fifa 18,sports,5,fifa 1.jpg,1000.php
1001,Don Bradman Cricket 17,sports,3,cricket1.jpg,1001.php
1002,NBA 2K18,sports,3,NBA1.jpg,1002.php
1003,WWE 2K18,sports,4,WWE1.jpg,1003.php
1004,Football manager 18,sports,5,FM1.jpg,1004.php
1005,UFC 2,sports,4,UFC1.jpg,1005.php
1006,PES 2018,sports,4,Pes1.jpg,1006.php
1007,NFL 18,sports,3,Nfl181.jpg,1007.php
1008,Rocket league,sports,5,Rocket1.jpg,1008.php
1009,Call of duty:ww2,shooting,5,CoD1.jpg,1009.php
1010,Wolfenstein 2: The New Colossus,shooting,1,Wolf1.jpg,1010.php
1011,Counter-Strike: Global Offensive,shooting,5,cs1.jpg,1011.php
1012,Half-Life 2,shooting,3,HL21.jpg,1012.php
1013,Doom,shooting,2,doom1.jpg,1013.php
1014,Dota 2,shooting,4,dota1.jpg,1014.php
1015,Overwatch,shooting,4,overwatch1.jpg,1015.php
1016,Battlefield 4,shooting,2,battlefield1.jpg,1016.php
1017,Call of duty:Advanced warfare,shooting,2,CoDaw1.jpg,1017.php
1018,Titanfall,shooting,5,titanfall1.jpg,1018.php
1019,Project igi,shooting,2,projectigi1.jpg,1019.php
1020,Call of Duty 4: Modern Warfare,shooting,5,CoD4mw1.jpg,1020.php
1021,Sniper:ghost warrior 3,shooting,3,Snipergw31.jpg,1021.php
1022,Midnight club 2,racing,4,Midnightclub21.jpg,1022.php
1023,Forza Horizon 3,racing,5,Forza1.jpg,1023.php
1024,Need for speed:underground,racing,4,NfSu1.jpg,1024.php
1025,Need for speed:most wanted,racing,4,NfSmw1.jpg,1025.php
1026,DiRT Rally,racing,2,dirtrally1.jpg,1026.php
1027,Driver: San Francisco,racing,4,DriverSF1.jpg,1027.php
1028,Shift 2,racing,1,Shift21.jpg,1028.php
1029,F1 2017,racing,5,f120171.jpg,1029.php
1030,Grand turismo 6,racing,3,Grandturismo61.jpg,1030.php
1031,Roadrash,racing,3,roadrash1.jpg,1031.php
1032,Motogp 16,racing,3,motogp1.jpg,1032.php
1033,NFS 3,racing,4,NFS1.jpg,1033.php
1034,Motogp 17,racing,5,motogp17 1.jpg,1034.php
1035,Gta 5,action-adventure,5,GTA51.jpg,1035.php
1036,Far cry 4,action-adventure,5,farcry1.jpg,1036.php
1037,Gta:Vice city,action-adventure,3,gtavice1.jpg,1037.php
1038,Gta:San andreas,action-adventure,5,gtasanandreas1.jpg,1038.php
1039,Watch dogs 2,action-adventure,5,watchdogs1.jpg,1039.php
1040,Sleeping dogs,action-adventure,2,sleepingdogs1.jpg,1040.php
1041,Batman: Arkham Asylum,action-adventure,4,batmanarkham1.jpg,1041.php
1042,Assassin's Creed II,action-adventure,3,assasins1.jpg,1042.php
1043,Tomb raider,action-adventure,3,tombraider1.jpg,1043.php
1044,God of War III,action-adventure,2,godofwar1.jpg,1044.php
1045,The Last of Us,action-adventure,3,lastofus2.jpg,1045.php
1046,Prince of Persia:Sands of time,action-adventure,1,princeofpersia1.jpg,1046.php
1047,Horizon zero dawn,action-adventure,1,horizonzero1.jpg,1047.php
1048,Uncharted 3: Drake's Deception,action-adventure,4,uncharted1.jpg,1048.php
1049,Age of empires 2,stratergy,3,ageofempires1.jpg,1049.php
1050,Sim city 4,stratergy,4,simcity1.jpg,1050.php
1051,Total War: Warhammer 2,stratergy,2,totalwar1.jpg,1051.php
1052,Age of empires 3,stratergy,2,ageofempires3-1.jpg,1052.php
1053,Into the Breach,stratergy,1,intothebreach1.jpg,1053.php
1054,Field of Glory II,stratergy,5,fieldofglory1.jpg,1054.php
1055,Rollercoster 2,stratergy,2,rollercoaster1.jpg,1055.php
1056,Starcraft Remastered,stratergy,5,starcraft1.jpg,1056.php
