"1","[('1012', 4.580584739168633), ('1035', 4.4559750397070639), ('1030', 4.4386142444107), ('1052', 4.4039820383927335), ('1040', 4.2177592393544199), ('1034', 4.1389594305102335), ('1056', 4.1197775763487634), ('1010', 4.1027984392621111), ('1025', 4.0720259921830957), ('1053', 4.0400083920274357)]"
"2","[('1016', 4.5605635354642828), ('1049', 4.4058623132165051), ('1050', 4.3946899272634363), ('1010', 4.3182711539308247), ('1030', 4.249405355241942), ('1041', 4.2432648855700235), ('1009', 4.1393624786036876), ('1037', 4.1189345813944254), ('1046', 4.0931051176602269), ('1053', 3.9849181875868021)]"
"3","[('1012', 4.8101193499062926), ('1016', 4.6220237532588246), ('1018', 4.6046982500515172), ('1041', 4.4993776742984473), ('1049', 4.4947709095205592), ('1024', 4.1434736725999732), ('1005', 4.1035940442344083), ('1028', 4.0442530569442363), ('1006', 4.0404093692486498), ('1042', 4.0120960274503101)]"
"4","[('1012', 4.5199711874072532), ('1008', 4.4460199274950067), ('1052', 4.3536727034983072), ('1053', 4.2895135754694902), ('1035', 4.2826559329807274), ('1016', 4.2113626082883888), ('1037', 4.1200565408210084), ('1039', 4.0534380199488123), ('1029', 3.9935684127642475), ('1027', 3.9738338172852381)]"
"5","[('1023', 4.6540398516690829), ('1000', 4.5789639164263569), ('1028', 4.4612959298860604), ('1027', 4.1090249999084447), ('1035', 4.076043738011295), ('1024', 4.0695890570171454), ('1043', 4.0204943570357043), ('1021', 3.9776969304021756), ('1020', 3.9554416322988892), ('1054', 3.9426393997167231)]"
"6","[('1046', 4.2749420257287492), ('1017', 4.0915902896852003), ('1054', 4.0523323458133387), ('1003', 4.0416910609620871), ('1000', 3.9577778110237625), ('1011', 3.9088022743552187), ('1042', 3.8710315953972199), ('1035', 3.8498665767379672), ('1033', 3.8372316256249861), ('1037', 3.8196632628197165)]"
"7","[('1023', 4.8472021770313987), ('1018', 4.7994000442384683), ('1030', 4.3326446639783214), ('1011', 4.257324417267716), ('1024', 4.2533338816898834), ('1013', 4.1122412621285145), ('1016', 4.0065667139375218), ('1028', 3.927362177843206), ('1015', 3.9194769182179474), ('1052', 3.8307885825191699)]"
"8","[('1041', 4.8618969266629142), ('1027', 4.651003224029532), ('1035', 4.5772278142329004), ('1024', 4.5605941104005749), ('1018', 4.4922067153496767), ('1032', 4.3066008343827669), ('1046', 4.2397051000035493), ('1053', 4.0745420658584477), ('1014', 4.0393171403817529), ('1003', 4.0214896224145322)]"
"9","[('1016', 4.4499540988632615), ('1024', 4.1788842112592599), ('1053', 4.1481273931878491), ('1027', 4.1086942514469262), ('1013', 3.9819166072483294), ('1046', 3.9283078678154273), ('1020', 3.8936413438398714), ('1054', 3.8730315342049364), ('1001', 3.8586730760929466), ('1005', 3.797889489427793)]"
"10","[('1053', 4.4688773009407905), ('1011', 4.2892707223564601), ('1024', 4.2767900668019667), ('1027', 4.2558410404844276), ('1020', 4.234588027468674), ('1015', 4.2170883182003607), ('1035', 4.2108315305622446), ('1039', 4.2001643622598124), ('1008', 4.1266830236997798), ('1030', 4.1066086777033926)]"
